climb_id,climb,height_gain_m,average_gradient,length_km,max_gradient,url,description
11,Rundelstone,346,4.00%,9,15.00%,https://cyclinguphill.com/100-climbs/rundelstone-climb/,"The Rundelstone climb is a challenging ascent featured on the list of top road cycling climbs in the UK, known for its demanding nature among cyclists and enthusiasts. With an average gradient at around 4%, it requires significant effort from riders to maintain speed while navigating this arduous terrain that extends over approximately 9 kilometers (km).

This ascent stands out due to its substantial height gain of about 346 meters, which contributes considerably to the climb's difficulty. The maximum gradient recorded reaches an impressive 15%, further emphasizing Rundelstone’s reputation for being a formidable challenge in road cycling events or training sessions throughout various UK regions.

For those eager to learn more about this remarkable ascent, including detailed descriptions of its route and any other relevant information pertaining to the climb's characteristics, you can visit Cyclinguphill (https://cyclinguphill.com/100-climbs/rundelstone-climb/), a dedicated platform providing comprehensive insights into some of Britain’s most demanding road cycling ascents and their impact on riders' performance levels, strategies for conquering these climbs or simply gather more information about the UK top 100 climbs."
12,Salcombe Hill,159,13.00%,1.2,20.00%,https://cyclinguphill.com/100-climbs/salcombe-hill/,"Salcombe Hill, located in the UK and featured on cyclinugu's top climbs list for road cycling enthusiasts seeking a challenge among their favorite hill rides, stands tall at an ascent of 159 meters over its length. With an average gradient that tests endurance to around 13%, this moderately steep incline spans just under one kilometer (1.2 km) in distance—a manageable climb for most cyclists seeking a thrilling experience without being excessively daunting.

Climbers must be prepared for the hill's demanding nature, as it reaches up to 20% gradient at its steepest point; this is where determination and proper pacing come into play during your climb strategy. Despite these challenges, Salcombe Hill offers a rewarding experience with breathtaking vistas that make the effort worthwhile for any cyclist looking for an adventurous ride in their top 100 list of UK road cycling climbs.

For additional details and more information about this exhilarating hill, including route tips and recommended times to tackle it based on weather conditions or personal fitness level, head over to the dedicated page: [https://cyclinguphill.com/100-climbs/salcombe-hill/](https://cyclinguphill.com/100-climbs/salcombe-hill/)."
13,Dovers Hill,145,10.00%,1.7,14.00%,https://cyclinguphill.com/100-climbs/dovers-hill/,"Dovers Hill, positioned within the top echelons of road cycling climbs in the UK, challenges riders with its notable elevation gain and gradient variations throughout a relatively short distance. This iconic ascent stands at an average height increase of 145 meters over a course length spanning approximately 1.7 kilometers. Cyclists can expect to navigate this hill under moderate conditions initially, where the gradient hovers around 10.0%, gradually intensifying up to its maximum steepness reaching 14.0%. Those interested in further details and statistics on Dovers Hill's formidable climb are invited to visit [https://cyclinguphill.com/100-climbs/dovers-hill/](https://cyclinguphill.com/100-climbs/dovers-hill/) for a comprehensive exploration of this renowned cycling challenge."
14,Box Hill,130,5.00%,2.5,6.00%,https://cyclinguphill.com/box-hill/,"Box Hill is a challenging climb in the UK, with an average gradient of approximately 5%, and it stretches over a distance of just under 2 kilometers (130 meters height gain). The maximum gradient encountered on this ascent reaches up to 6%. For more detailed information about Box Hill's topography and statistics for road cyclists, you can visit the Cyclinguphill website: [https://cyclinguphill.com/box-hill/](https://cyclinguphill.com/box-hill/)"
15,York’s Hill,92,14.00%,0.6,20.00%,https://cyclinguphill.com/yorks-hill/,"York’s Hill is a challenging climb featured on the UK's list of top road cycling ascents, specifically noted for its demanding nature among cyclists and riders in training or competition within this region. The ascent has an average gradient that reaches approximately 14%, with sections where gradients can spike to up to a maximum of 20%. Despite the hill's modest length—covered by just over half a kilometer (600 meters)—the steep inclines and variable terrain contribute significantly to its difficulty. For those seeking more detailed information about York’s Hill, including historical data on past climbs or specific training advice for riders attempting this course, further details can be found at the following URL: https://cyclinguphill.com/yorks-hill/."
16,White Lane,79,13.00%,0.7,22.00%,https://cyclinguphill.com/white-lane-bec-cc-hill-climb/,"White Lane, a challenging hill climb featured on the British Cycling Calendar's Top 100 list for road cycling in the UK, offers an exhilarating experience with its steep incline. Riders are set to tackle approximately 79 meters of elevation gain over just half a kilometer (0.5 km) stretch while facing gradients averaging around 13%. However, those who dare will encounter even more demanding sections where the gradient can soar up to an astonishing 22.0%, truly testing their climbing prowess and endurance on this notorious ascent.

For detailed information about White Lane's history, route specifications, or further insights into its inclusion in the Top 100 list for road cycling hills within the UK, please visit: [https://cyclinguphill.com/white-lane-bec-cc-hill-climb/](https://cyclinguphill.com/white-lane-bec-cc-hill-climb/)"
17,Leith Hill,145,7.00%,2.1,16.00%,https://cyclinguphill.com/leith-hill-climb/,"Leith Hill offers a challenging topographical feature for road cyclists in the UK, featuring an ascent of approximately 2.1 kilometers with varying gradients reaching up to 16%. The climb begins relatively gently but quickly intensifies, demanding significant power output from riders due to its average gradient standing at around 7%. This moderate yet consistent incline spans a total height gain of about 145 meters.

For enthusiasts looking for more detailed information on Leith Hill's topography and cycling statistics or planning their training, you can visit the dedicated climbing profile page here: [Leith Hill Climb Details](https://cyclinguphill.com/leith-hill-climb/)."
18,White Downs,112,6.00%,1.9,20.00%,https://cyclinguphill.com/100-climbs/whitedowns/,"White Downs is a formidable climb, ranking among the top challenges for road cyclists in the UK with an elevation gain of 112 meters over its length of approximately 1.9 kilometers. The average gradient stands at a demanding 6%, ensuring that riders maintain their focus and energy throughout this ascent. Notably, White Downs pushes climbers to endure peaks in gradients up to an impressive maximum of 20%. For those seeking further details about the various top-tier UK cycling climbs or wishing to explore more information on White Downs specifically, you can visit [Cyclinguphill.com](https://cyclinguphill.com/100-climbs/whitedowns/)."
19,The Wall,125,9.00%,1.4,17.00%,https://cyclinguphill.com/100-climbs/the-wall,"The Wall, featured in the top 100 climbs list for road cycling across the UK's picturesque landscapes, is a formidable challenge with its substantial elevation gain of 125 meters over an approximate stretch of just under one kilometer (1.4 km). Cyclists can expect to encounter gradients averaging around 9%, although some sections push even more demanding at up to 17%. This climb is renowned for testing the limits and endurance of riders, offering a thrilling ride that promises breathtaking views as they ascend The Wall.

For those who wish to dive deeper into this challenging route or explore other top UK road cycling climbs, more information can be found at [https://cyclinguphill.com/100-climbs/the-wall](https://cyclinguphill.com/100-climbs/the-wall)."
20,Toys Hill,170,6.00%,2.7,18.00%,https://cyclinguphill.com/100-climbs/toys-hill/,"To experience the challenge of Toys Hill, a notable climb within Britain's top cycling destinations, you will ascend approximately 170 meters over its lengthy stretch of about 2.7 kilometers on roads that average an incline gradient of 6%. The steepest section reaches up to 18% ascent—a formidable test for even the most seasoned riders seeking a rigorous climb. For additional details and insights into Toys Hill's status among UK road cycling routes, please visit [https://cyclinguphill.com/100-climbs/toys-hill/](https://cyclinguphill.com/100-climbs/toys-hill/)."
21,Steyning Bostal,123,8.00%,1.6,17.00%,https://cyclinguphill.com/100-climbs/steyning-bostal/,"The Steyning Bostal climb in the UK is an exceptionally challenging road cycling route that features a total ascent of approximately 123 meters over just 1.6 kilometers, with one section reaching up to a daunting maximum gradient of 17%. Despite this steep incline, cyclists often tackle it due to its inclusion in the UK's top climbs list for road biking enthusiasts.

The average grade across Steyning Bostal is relatively moderate at around an 8% uphill gradient throughout most of the course; however, riders must be prepared for sudden spikes where they can experience gradients much steeper than this baseline figure—the climb's maximum recorded slope being a formidable 17%.

For cyclists seeking to test their limits or improve their hill-climbing skills on the UK roads, Steyning Bostal is an esteemed and respected route. To learn more about this challenging ascent, visit [https://cyclinguphill.com/100-climbs/steyning-bostal/](https://cyclinguphill.com/100-climbs/steyning-bostal/)."
22,Ditchling Beacon,142,10.00%,1.4,17.00%,https://cyclinguphill.com/100-climbs/ditchling-beacon/,"Ditchling Beacon stands as a formidable challenge within the UK's top climbs for road cycling, boasting an elevation gain of 142 meters over its length. With an average gradient that steepens at around 10%, cyclists can expect to face some serious resistance on this uphill battle. The total distance covered while tackling the full ascent is approximately 1.4 kilometers, and it's noteworthy for reaching a maximum gradient of up to 17%. For those keenly interested in road cycling climbs or looking to test their mettle against Ditchling Beacon's steep inclines, further details are readily available at [https://cyclinguphill.com/100-climbs/ditchling-beacon/](https://cyclinguphill.com/100-climbs/ditchling-beacon/)."
23,Whiteleaf,127,9.00%,1.4,16.00%,https://cyclinguphill.com/100-climbs/whiteleaf-hill/,"The Whiteleaf climb stands as a formidable challenge on the UK's top cycling routes, featuring an impressive average gradient of approximately 9%. This hill stretches for about 1.4 kilometers (0.87 miles) and boasts one extreme moment where it reaches its maximum incline at around 16%, presenting a steep test to cyclists' endurance. For enthusiasts eager to experience the thrill of this climb, detailed information is available on Cycling Hill Info: https://cyclinguphill.com/100-climbs/whiteleaf-hill/."
24,Streatley Hill,120,11.00%,1,18.00%,https://cyclinguphill.com/100-climbs/streatley-hill/,"Streatley Hill stands as a challenging climb on the British road cycling circuit, offering an average gradient of approximately 11%. This single kilometer long hill demands stamina and strategy from riders attempting to conquer its steepest sections. With maximum gradients reaching upwards of 18%, it provides some serious resistance even for seasoned cyclists. For those interested in understanding the full profile, including historical data and comparisons with other UK climbs on top rated lists such as The Top 100 Road Climbs In Britain (https://cyclinguphill.com/top-road-climbs/), Streatley Hill's details are thoroughly documented at this link: https://cyclinguphill.com/streatley-hill/."
25,Combe Gibbet,83,10.00%,0.8,18.00%,https://cyclinguphill.com/combe-gibbet/,"The Combe Gibbet climb is a challenging ascent featured on the top list of road cycling routes in the UK, with an impressive height gain of 83 meters over its length of just under half a kilometer (0.8 km). With an average gradient sitting at approximately 10%, this test of endurance and skill reaches even more demanding terrain as it peaks out at a steep maximum incline of up to 18%. For enthusiasts seeking additional details or planning their climb strategy, further information can be found on the Cyclinguphill website dedicated to hill profiles: [https://cyclinguphill.com/combe-gibbet/](https://cyclinguphill.com/combe-gibbet/)"
26,Mott Street,78,5.00%,1.4,12.00%,https://cyclinguphill.com/100-climbs/mott-street/,"Mott Street, located in the heart of London's bustling streets, is a challenging climb that tests even seasoned cyclists from across the UK. With an average gradient rising to approximately 5%, this ascent spans just over a kilometer (1.4 km) and culminates with a steep incline where gradients can reach upwards of 12%. This iconic hill presents not only physical challenges but also provides spectacular urban views, making it one of the top climbs among road cyclists in Britain.

For those looking to expand their cycling horizons and conquer Mott Street's formidable gradient while enjoying London’s charming scenery, further information is available at: [https://cyclinguphill.com/100-climbs/mott-street/](https://cyclinguphill.com/100-climbs/mott-street/)."
27,Swains Lane,71,8.00%,0.9,20.00%,https://cyclinguphill.com/swains-lane/,"Swains Lane is a challenging road climb featured on the top 100 list for UK cycling enthusiasts, standing proudly at number one with its distinctive characteristics: it offers an ascent of 71 meters over just under half a kilometer (0.9 km). The average gradient throughout this route maintains a steady and formidable challenge to riders, peaking at approximately eight percent—a testament to the climb's consistent difficulty level.

For those seeking even more rigorous testing grounds, Swains Lane features sections where cyclists can face gradients soaring up to an impressive 20%, which not only pushes physical limits but also demands a high degree of technical skill and mental fortitude from the riders tackling this climb.

Riders looking for more detailed information about this top-tier British road ascent can visit [https://cyclinguphill.com/swains-lane/](https://cyclinguphill.com/swains-lane/) where they will find comprehensive insights, including historical data on past climbs and comparisons with other challenging routes across the UK cycling landscape."
28,Michaelgate,31,12.00%,0.3,17.00%,https://cyclinguphill.com/100-climbs/michaelgate/,"Michael Gate is a renowned road cycling climb located in the UK, standing at an impressive height gain of approximately 31 meters over just 0.3 kilometers (about one third of a mile). This short but challenging ascent boasts an average gradient that demands resilience and skill from even seasoned cyclists, with gradients reaching up to 12%. The most formidable part of Michael Gate sees the steepest incline at around 17.0%, pushing riders' limits on their way towards victory over this daunting climb. For those interested in exploring more about road cycling challenges and seeking inspiration, please visit: https://cyclinguphill.com/100-climbs/michaelgate/."
29,Terrace Hill,76,8.00%,0.9,15.00%,https://cyclinguphill.com/100-climbs/terrace-hill/,"Terrace Hill is a challenging climb featured on the list of top 100 road cycling hills in the UK, with an ascent length of approximately 900 meters and an average gradient reaching up to 8.0%. The hill offers cyclists a steep but rewarding test at times peaking out to a maximum gradient of around 15.0%, making it one of the more demanding climbs on this list.

For those interested in exploring further details or planning their ascent, additional information can be found by visiting: [https://cyclinguphill.com/100-climbs/terrace-hill/](https://cyclinguphill.com/100-climbs/terrace-hill/)."
30,Monsal Head,57,12.00%,0.5,17.00%,https://cyclinguphill.com/100-climbs/monsal-head/,"Monsal Head is recognized as one of the top climbs on a list of road cycling challenges in the UK, holding an impressive rank within the country's most demanding ascents. This particular hill offers cyclists a formidable test with its significant vertical rise over just half a kilometer (0.5 km). Climbers will encounter gradients averaging around 12%, which can intensify to up to 17% at peak sections, making it not only physically demanding but also mentally taxing as they push through the climb's steepest stretches.

Riders who face Monsal Head are met with a challenging uphill battle that demands endurance and strategic pacing due to its relatively short length coupled with high gradient sections, which can catch even seasoned cyclists off guard if not adequately prepared for the climb's rigorous nature. This ascent is particularly renowned among local cycling enthusiasts who seek out such grueling tests of their mettle and endurance on two wheels.

For those interested in delving deeper into Monsal Head or exploring other top UK road cycling climbs, the Cyclinguphill website provides comprehensive information about various challenging routes across Britain: https://cyclinguphill.com/100-climbs/monsal-head/. This resource is an excellent starting point for cyclists looking to test their limits on some of England's most iconic and demanding hillsides, offering detailed profiles that include climb statistics such as height gain in meters (57 m), average gradient percentage (12.0%), length measured in kilometers (0.5 km), maximum gradient reached during the climb (17.0%), along with other essential details to help riders prepare for their next cycling adventure against Monsal Head and beyond."
31,Bank Road,115,10.00%,1.1,20.00%,https://cyclinguphill.com/100-climbs/bank-road/,"Bank Road is one of the top climbs in road cycling within the UK, featuring an impressive elevation gain and challenging gradients for riders to conquer. The ascent spans a length of approximately 1.1 kilometers with an average gradient incline at 10%, which steadily increases towards its steepest point where it peaks at a maximum gradient of 20%. Climbers can anticipate facing this demanding terrain, testing their strength and endurance throughout the climb's entirety up to Bank Road. For more detailed information on other prominent UK road cycling climbs or further insights into training for such challenges, you may visit [https://cyclinguphill.com/100-climbs/bank-road/](https://cyclinguphill.com/100-climbs/bank-road/)."
32,Riber,162,9.00%,1.8,25.00%,https://cyclinguphill.com/100-climbs/riber-hill/,"The Riber Hill climb is a formidable challenge for road cyclists, featuring an average gradient of approximately 9%, with the most severe incline reaching up to 25%. Spanning only about 1.8 kilometers in length, this ascent demands exceptional endurance and skill from its riders. For those seeking more detailed information on Riber Hill's characteristics or how it fits into a cyclist’s training regimen within the UK top climbs landscape, please visit [Cyclinguphill](https://cyclinguphill.com/100-climbs/riber-hill/)."
33,Winnats Pass,198,12.00%,1.7,20.00%,https://cyclinguphill.com/winnats-pass/,"Winnats Pass stands out as a challenging road cycling climb in the UK, boasting an impressive average gradient of approximately 12%. Rising to its peak at around 198 meters above sea level, this climb stretches for about 1.7 kilometers and reaches maximum gradients up to 20%. Cyclists seeking a demanding ascent will find Winnats Pass both rewarding and exhilarating on their journey across the British countryside. To explore more details regarding this formidable climb, visit [https://cyclinguphill.com/winnats-pass/](https://cyclinguphill.com/winnats-pass/)."
34,Rowsley Bar,140,13.00%,1.1,25.00%,https://cyclinguphill.com/rowsley-bar/,"The Rowsley Bar climb, featured on the top 100 road cycling routes in the UK, challenges riders with a height gain of approximately 140 meters over its length of just under one kilometer (1.1 km). The average gradient for this ascent is about 13 percent, presenting a moderate yet persistent challenge to cyclists aiming to conquer it. Despite its relative manageability compared to steeper climbs on the list, Rowsley Bar still stands out with a max gradient of an impressive 25 percent at certain sections—demanding riders showcase their strength and endurance in equal measure. For more detailed information about this demanding but rewarding cycling route, visit [https://cyclinguphill.com/rowsley-bar/](https://cyclinguphill.com/rowsley-bar/)."
35,Curbar Edge,175,10.00%,1.8,16.00%,https://cyclinguphill.com/100-climbs/curbar-edge/,"Curbar Edge is a prominent climb featured on the UK's top road cycling challenges, standing at an impressive height gain of approximately 175 meters over its course. Riders will face moderate resistance as they ascend with an average gradient that sits around 10%, making for sustained effort throughout the length of this climb which spans about 1.8 kilometers from start to finish. The most challenging section reaches a steep maximum gradient of up to 16%. To learn more details and explore other top UK road cycling climbs, you can visit [https://cyclinguphill.com/100-climbs/curbar-edge/](https://cyclinguphill.com/100-climbs/curbar-edge/)."
36,Mow Cop,170,11.00%,1.5,25.00%,https://cyclinguphill.com/mow-cop-the-killer-mile/,"Mow Cop, also known as The Killer Mile, is a formidable climb featured in the top 100 road cycling ascents of the UK with an impressive height gain of approximately 170 meters. This challenging route extends for about 1.5 kilometers and boasts one notorious gradients reaching up to 25%. The average gradient stands at a steep incline of 11%, ensuring that cyclists must be in top form or risk being overwhelmed by the climb's rigor. For enthusiasts looking for more details about Mow Cop, its history, and performance statistics, further information is readily available on [Cyclinguphill](https://cyclinguphill.com/mow-cop-the-killer-mile/)."
37,Peaslows,172,11.00%,1.6,12.00%,https://cyclinguphill.com/100-climbs/peaslows/,"Peaslows is a formidable ascent featured on the list of top 100 climbs for road cycling in the UK, challenging riders with its notable height gain and gradient. With an average slope rising at 11%, it demands considerable skill and endurance from competitors. The length of this demanding route spans approximately 1.6 kilometers before reaching a maximum incline peaking slightly above the mean rate at 12%. For those interested in further details about Peaslows, including its historical significance or training tips for riders aspiring to conquer it, you can visit Cyclinguphill's dedicated page: [https://cyclinguphill.com/100-climbs/peaslows/](https://cyclinguphill.com/100-climbs/peaslows/)"
38,Jiggers Bank,125,5.00%,2.6,10.00%,https://cyclinguphill.com/100-climbs/jiggers-bank/,"Jigger's Bank, a formidable challenge for road cyclists in the UK with an average gradient of approximately 5.0%, offers climbers and spectators alike an experience that tests both endurance and skill on its steep ascent covering a lengthy distance of just over two kilometers (2.6 km). With a maximum incline reaching up to 10.0%, the route presents one with significant resistance, particularly in sections where riders must grapple with even greater gradients that push their limits further than usual climbs found on UK roads. The total height gain of this demanding hill stands at an impressive 125 meters and is a popular feature among cyclists seeking to test themselves against the toughest uphill challenges in Britain's cycling landscape.

For those looking for more information about Jigger’s Bank or other top climbs, you can visit CyclinguPhill at [https://cyclinguphill.com/100-climbs/jiggers-bank/](https://cyclinguphill.com/100-climbs/jiggers-bank/)."
39,The Burway,290,10.00%,3,20.00%,https://cyclinguphill.com/100-climbs/burway/,"The Burway, a top contender among the UK's road cycling climbs for its challenging terrain and strategic elevation changes, stands proudly within this year’s prestigious list of The Top 100 Climbs. Stretching over just three kilometers in length, it offers cyclists an average gradient that demands consistent power output at around a formidable but manageable slope of approximately 10%. As the climb progresses towards its peak—a maximum ascent reaching up to 290 meters with gradients soaring beyond what many would consider moderate, hitting peaks of about 20% gradient. This particular incline makes it an ideal test for endurance and strength in professional cyclists or enthusiasts alike who thrive on the challenge that The Burway presents throughout its course—the relentless climb testing mettle at every turn until reaching a breathtaking summit, which ultimately rewards those persistent enough to conquer it. To delve deeper into this ascent's details or compare against other UK road cycling challenges on similar lists like 'The Top 10 Climbs', you can visit the dedicated page: https://cyclinguphill.com/100-climbs/burway/."
40,Shibden Wall,133,15.00%,0.9,25.00%,https://cyclinguphill.com/100-climbs/shibden-wall/,"Shibden Wall, a formidable challenge for road cyclists in the UK's top climbs list, offers an average gradient of 15.0% over its length of approximately 0.9 kilometers with a maximum steepness reaching up to 25.0%. This ascent provides athletes and enthusiasts alike the opportunity to test their endurance on this scenic but demanding route, culminating in an impressive total height gain of over 133 meters. For more details about Shibden Wall's characteristics or its ranking among other climbs, please visit [https://cyclinguphill.com/100-climbs/shibden-wall/](https://cyclinguphill.com/100-climbs/shibden-wall/)."
41,Pea Royd Lane,145,12.00%,1.1,20.00%,https://cyclinguphill.com/pea-royd-lane/,"Pea Royd Lane is a challenging climb that features an average gradient of 12%. Riders will experience significant resistance as they tackle the hill, with its maximum incline reaching up to 20%. The total vertical rise over this course measures approximately 145 meters. Spanning just under one kilometer in length (at precisely 1.1 km), Pea Royd Lane stands out among other climbs for road cycling enthusiasts across the UK, presenting a rigorous test of endurance and strength. For those interested in exploring more about this formidable ascent or seeking further details on similar routes within the top 100 listings, visit https://cyclinguphill.com/pea-royd-lane/."
42,Jackson Bridge,161,10.00%,1.5,20.00%,https://cyclinguphill.com/jackson-bridge-granville-sydney-memorial-hill-climb/,"The Jackson Bridge climb, located in Granville Square Memorial Hill of Sydney, is a challenging yet rewarding top road cycling route for riders seeking an exhilarating ascent. The track gains approximately 161 meters (m) over its length and presents cyclists with various gradients to navigate through this picturesque location.

The average gradient throughout the climb stands at a steep but manageable rate of about 10%. This consistent incline ensures that even less experienced riders can enjoy the ride while still providing an intense workout for those who prefer more challenging rides. The length of this ascent spans just over one kilometer (km), which is short enough to be a quick yet arduous test of endurance and skill, but long enough to build up significant speed before reaching its peak.

The maximum gradient reaches an impressive 20%, making it the steepest section on this climb where cyclists must summon their strength and determination to conquer these formidable hills successfully. The combination of a moderate average grade, relatively short length, and occasional bursts of extreme difficulty ensures that Jackson Bridge is not only an exceptional cycling experience but also one that offers the opportunity for riders at all levels to test themselves against this iconic climb in Australia's road racing scene.

For more information about other top 100 UK climbs, you can visit https://cyclinguphill.com/"
