climb_id,climb,height_gain_m,average_gradient,length_km,max_gradient,url
65,The Cairnwell,323,0.04,8.5,0.12,https://cyclinguphill.com/100-climbs/the-cairnwell/
66,The Lecht,245,0.08,3,0.2,https://cyclinguphill.com/100-climbs/the-lecht/
67,Cairn Gorm,300,0.05,5.4,0.1,https://cyclinguphill.com/100-climbs/cairn-gorm/
68,Rest + be Thankful,253,0.06,4.4,0.16,https://cyclinguphill.com/100-climbs/rest-and-be-thankful/
69,Bealach-Na-Ba,623,0.07,8.9,0.2,https://cyclinguphill.com/100-climbs/bealach-na-ba/
70,Cat and Fiddle,381,0.03,11.2,0.05,https://cyclinguphill.com/100-climbs/cat-fiddle/
71,Swiss Hill,69,0.13,0.5,0.17,https://cyclinguphill.com/100-climbs/swiss-hill/
72,The Rake,101,0.12,0.95,0.23,https://cyclinguphill.com/rake-hill-climb/
73,Garsdale Head,222,0.06,3.6,0.2,https://cyclinguphill.com/100-climbs/garsdale-head/
74,Nick O’ Pendle,145,0.11,1.3,0.14,https://cyclinguphill.com/nick-o-pendle/
75,Trough of Bowland,144,0.06,2.2,0.16,https://cyclinguphill.com/100-climbs/trough-bowland/
76,Jubilee Tower,230,0.06,4.1,0.16,https://cyclinguphill.com/100-climbs/jubilee-tower/
77,Hartside Fell,396,0.05,7.6,0.07,https://cyclinguphill.com/hartside-fell/
78,Lamps Moss,302,0.08,4,0.17,https://cyclinguphill.com/100-climbs/lamps-moss/
79,Cross of Greet,182,0.06,2.9,0.13,https://cyclinguphill.com/100-climbs/cross-of-greet/
80,Honister Pass,239,0.07,3.7,0.25,https://cyclinguphill.com/honister-pass/
81,Newlands House,205,0.11,1.9,0.25,https://cyclinguphill.com/100-climbs/newlands-house-pass/
82,Whinlatter Pass,231,0.07,3.3,0.15,https://cyclinguphill.com/100-climbs/whinlatter-pass/
83,Kirkstone Pass,292,0.06,5.3,0.16,https://cyclinguphill.com/kirkstone-pass/
84,Hardknott Pass,298,0.13,2.2,0.33,https://cyclinguphill.com/hardknott-pass/
85,Wrynose Pass,278,0.11,2.5,0.25,https://cyclinguphill.com/wrynose-pass/
86,The Shelf,262,0.05,5.1,0.12,https://cyclinguphill.com/100-climbs/the-shelf/
87,Moel Arthur,220,0.1,2.2,0.2,https://cyclinguphill.com/100-climbs/moel-arthur/
88,Penbarras,258,0.11,2.3,0.25,https://cyclinguphill.com/100-climbs/penbarras/
89,The Road to Hell,353,0.03,11,0.2,https://cyclinguphill.com/100-climbs/the-road-to-hell/
90,Horseshoe Pass,317,0.07,6.1,0.2,https://cyclinguphill.com/horseshoe-pass/
91,Bwlch Y Groes,385,0.11,3.5,0.25,https://cyclinguphill.com/100-climbs/bwlch-y-groes-hellfire-pass/
92,Ffordd Penllech,61,0.2,0.3,0.4,https://cyclinguphill.com/100-climbs/ffordd-penllech/
93,Devil’s Staircase,151,0.12,1.3,0.25,https://cyclinguphill.com/100-climbs/devils-staircase/
94,Llangynidr Mt,397,0.07,5.6,0.14,https://cyclinguphill.com/100-climbs/llangynidr-mountain/
95,Black Mountain,378,0.05,7.1,0.08,https://cyclinguphill.com/100-climbs/black-mountain/
96,Bryn Du,270,0.05,5.5,0.22,https://cyclinguphill.com/100-climbs/bryn-du/
97,The Tumble,399,0.08,5.1,0.16,https://cyclinguphill.com/tumble/
98,Rhigos,268,0.04,6.2,0.07,https://cyclinguphill.com/100-climbs/rhigos-climb/
99,The Bwlch,340,0.06,5.8,0.22,https://cyclinguphill.com/100-climbs/the-bwlch/
100,Constitution Hill,59,0.2,0.3,0.22,https://cyclinguphill.com/100-climbs/constitution-hill-swansea/
